index,patch_name,parent_id,complete_model_name,pred_x,pred_y,pred_z,gt_x,gt_y,gt_z,error_mm
0,Scissors_001_s00000,001,bigpointcloud_001.ply,0.013265028595924377,-9.95758455246687e-05,0.010478337295353413,0.012905286625027657,0.0006987331435084343,0.008923692628741264,1.784273386001587
1,Scissors_001_c00001,001,bigpointcloud_001.ply,0.013450311496853828,-0.00010234210640192032,0.01097827684134245,0.013594429939985275,0.00034941663034260273,0.010765939950942993,0.5195603966712952
2,Scissors_001_s00002,001,bigpointcloud_001.ply,0.0129302479326725,-7.725111208856106e-05,0.009848718531429768,0.011532170698046684,0.0003316525835543871,0.0071270884945988655,3.0869228839874268
3,Scissors_001_c00003,001,bigpointcloud_001.ply,0.013161500915884972,-9.716232307255268e-05,0.010177206248044968,0.012021537870168686,0.0007661967538297176,0.007846270687878132,2.734623432159424
4,Scissors_001_s00004,001,bigpointcloud_001.ply,0.013184361159801483,-9.782426059246063e-05,0.010278040543198586,0.01168038696050644,-0.00046719680540263653,0.007480868138372898,3.1972720623016357
5,Scissors_001_s00005,001,bigpointcloud_001.ply,0.01387486420571804,-9.892298839986324e-05,0.011615600436925888,0.01542321965098381,0.0006655270699411631,0.014858321286737919,3.673830032348633
6,Scissors_001_c00006,001,bigpointcloud_001.ply,0.013280995190143585,-0.00010371976532042027,0.010606576688587666,0.013073589652776718,-0.0006254133768379688,0.009533751755952835,1.2108405828475952
7,Scissors_001_s00007,001,bigpointcloud_001.ply,0.011246606707572937,-5.296710878610611e-05,0.007034581154584885,0.007472972851246595,0.0006447192281484604,0.0035794086288660765,5.163845062255859
8,Scissors_001_c00008,001,bigpointcloud_001.ply,0.012470370158553123,-6.707455031573772e-05,0.009068354032933712,0.01059877872467041,0.0007962202653288841,0.006541632115840912,3.26074481010437
9,Scissors_001_c00009,001,bigpointcloud_001.ply,0.01270461268723011,-7.9338438808918e-05,0.00939657911658287,0.011156488209962845,0.0003598600160330534,0.006750245578587055,3.097202777862549
10,Scissors_001_s00010,001,bigpointcloud_001.ply,0.013511337339878082,-0.00010153627954423428,0.011000311002135277,0.01297854259610176,0.00025450880639255047,0.00942181795835495,1.7036075592041016
11,Scissors_001_c00011,001,bigpointcloud_001.ply,0.011823637410998344,-6.339931860566139e-05,0.007900886237621307,0.009244918823242188,0.00010836822912096977,0.004921566694974899,3.944063663482666
12,Scissors_001_c00012,001,bigpointcloud_001.ply,0.013537349179387093,-9.736907668411732e-05,0.011119944974780083,0.013918537646532059,0.0006729874294251204,0.01128386240452528,0.8749987483024597
13,Scissors_001_c00013,001,bigpointcloud_001.ply,0.014150651171803474,-0.00010681920684874058,0.012118419632315636,0.015245363116264343,0.0006917493883520365,0.014280786737799644,2.551849842071533
14,Scissors_001_c00014,001,bigpointcloud_001.ply,0.013464689254760742,-9.648525156080723e-05,0.010954265482723713,0.012603942304849625,-0.000505195464938879,0.009031864814460278,2.1455893516540527
15,Scissors_001_s00015,001,bigpointcloud_001.ply,0.013989811763167381,-0.00010253023356199265,0.011866433545947075,0.014864102005958557,0.0004628547467291355,0.012893329374492168,1.46238112449646
16,Scissors_001_c00016,001,bigpointcloud_001.ply,0.013367809355258942,-0.00010470952838659286,0.01075484324246645,0.013412915170192719,0.00032875011675059795,0.010030494071543217,0.845342218875885
17,Scissors_001_c00017,001,bigpointcloud_001.ply,0.010749677196145058,-6.075762212276459e-05,0.006491686217486858,0.0072957300581038,0.0011594260577112436,0.0037964999210089445,4.547815799713135
18,Scissors_001_s00018,001,bigpointcloud_001.ply,0.0109231136739254,-3.6973971873521805e-05,0.006810667924582958,0.004518496338278055,0.0008324107620865107,0.002124412916600704,7.9834794998168945
19,Scissors_001_s00019,001,bigpointcloud_001.ply,0.014317095279693604,-9.692972525954247e-05,0.012549826875329018,0.016148317605257034,0.0004119973164051771,0.016545729711651802,4.424886703491211
20,Scissors_001_s00020,001,bigpointcloud_001.ply,0.01343722827732563,-9.946618229150772e-05,0.01097509078681469,0.014191124588251114,-0.0005361305084079504,0.011272644624114037,0.9206376075744629
21,Scissors_001_s00021,001,bigpointcloud_001.ply,0.011276206001639366,-3.689480945467949e-05,0.007150803692638874,0.010613460093736649,-6.861146539449692e-05,0.005807213485240936,1.4984902143478394
22,Scissors_001_s00022,001,bigpointcloud_001.ply,0.014253366738557816,-0.00011765467934310436,0.01259591430425644,0.015697356313467026,-0.0006787290330976248,0.015133590437471867,2.9731647968292236
